Ego, I
Tu, You
Nos, We
Vos, you (plural)
Is, He
Ea, She
Id, It/that
Hic, This
Ille, That
Idem, The same
Illi, They
Suus, Theirs
Tuus, Yours
Meus, My
Eius, His/Hers/Its
Ipse, Him/Her/It-self
in, In/Into
a, Away from, by
de, About/concerning
pro, Before/in front of
sine, Without
anta, Before
contra, Opposite
per, Through
post, After/Behind
trans, Over/Across/Beyond
ad, To/Towards
ex, From
cum, When/With
et/atque, and
nam, For/In fact
